I stay up to date on current political topics and issues.,I have developed opinions on political issues and topics.,I am comfortable starting a discussion about political issues with my friends.,I know enough information about politics and political issues to talk about them with people I don’t know very well.,"On average, approximately how many minutes per day do you spend on Facebook?-Minutes Per Day on Facebook",Approximately how many Facebook friends do you have?-Number of Facebook Friends,"On average, how many days per week do you read a newspaper or news magazine?","On average, how many days per week do you watch television news?",What is your age?-Years (Age),What is your sex?,What is your race/ethnicity?
pie1,pie2,pie3,pie4,fbtime,fbfriends,news,tv,age,sex,race
3,4,4,2,,,3,5,19,Female,White
3,3,3,3,136,1235,2,3,18,Female,White
4,4,3,4,15,552,4,1,19,Female,White
5,5,5,5,0,90,2,6,19,Female,White
2,4,3,1,0,321,1,1,20,Female,White
2,4,5,2,0,401,1,1,19,Female,White
4,4,4,2,49,1092,3,1,20,Female,White
4,4,3,3,10,370,3,5,19,Female,Multiracial
4,4,4,4,45,396,5,1,20,Female,White
2,3,3,2,50,383,1,2,20,Female,Multiracial
4,4,4,4,15,382,1,2,19,Female,Multiracial
1,4,2,3,29,551,1,1,22,Female,White
3,4,4,3,,,1,7,19,Female,White
2,4,2,2,27,379,2,2,19,Female,Hispanic/Latino
3,3,3,3,,,3,1,19,Female,White
2,3,1,1,10,507,1,2,19,Female,White
2,2,3,2,13,1083,1,1,20,Female,White
3,4,4,3,60,644,1,1,19,Female,White
2,1,1,1,30,971,2,2,19,Female,White
3,3,3,3,,,5,5,20,Female,White
2,4,4,4,32,439,3,7,19,Female,White
2,2,2,4,28,508,1,3,19,Female,White
2,3,4,1,90,1013,2,5,22,Female,White
2,5,5,4,28,303,2,4,24,Female,White
3,4,4,3,10,1049,3,2,21,Female,Black
4,4,4,4,30,958,5,7,19,Female,White
4,3,3,4,87,325,1,3,23,Female,White
2,3,3,3,70,1129,3,3,18,Female,White
3,3,2,3,20,313,1,5,18,Female,White
2,4,3,4,14,1216,2,3,19,Female,White
4,4,4,4,15,1400,3,5,23,Female,Black
5,4,3,4,30,1141,2,4,19,Female,Black
3,4,3,3,120,601,3,4,18,Female,White
4,4,4,4,0,215,5,5,20,Female,White
4,5,5,5,62,371,7,1,25,Female,White
3,3,3,3,,,2,4,49,Female,White
2,3,3,3,10,1002,1,1,21,Female,White
3,4,4,4,123,1608,5,6,19,Female,Black
3,4,2,3,2,18,1,1,21,Female,Other
3,5,4,2,28,797,5,1,19,Female,White
4,4,4,4,75,851,3,4,19,Female,White
3,2,4,4,29,298,5,7,19,Female,Other
4,5,5,5,40,689,4,7,22,Female,White
3,4,4,2,20,174,3,2,19,Female,White
4,5,3,3,21,1091,2,3,18,Female,White
3,4,3,3,20,1234,3,2,20,Female,White
4,4,4,4,89,671,1,6,20,Female,Other
3,3,2,1,29,588,5,4,19,Female,White
3,3,3,2,40,291,7,1,23,Female,Other
2,2,2,4,0,352,3,2,20,Female,White
3,4,4,2,14,1007,2,4,20,Female,White
2,4,2,3,25,501,1,1,18,Female,White
3,5,4,4,20,1199,2,3,19,Female,White
4,5,5,4,30,321,2,3,18,Female,White
3,4,4,3,15,486,1,3,19,Female,White
4,2,5,4,4,322,4,6,19,Female,White
4,4,3,2,15,998,2,2,19,Female,White
4,4,4,2,6,211,2,5,19,Female,White
1,3,2,2,117,483,1,7,19,Female,White
5,4,3,4,137,1071,6,4,20,Female,White
2,2,2,2,30,428,3,1,21,Female,Asian
3,4,3,3,15,1502,1,4,20,Female,White
4,5,4,3,16,236,6,4,18,Female,White
3,3,3,3,28,783,1,3,19,Female,White
4,4,3,3,25,969,4,3,18,Female,White
2,3,2,1,0,403,1,2,18,Female,White
1,4,4,2,46,1002,3,1,22,Female,Black
4,4,4,4,30,801,1,6,20,Female,White
1,1,1,1,31,1691,1,1,22,Female,Black
2,3,2,3,28,765,6,1,22,Female,White
3,4,2,4,5,396,3,5,18,Female,White
3,3,2,2,57,496,5,3,23,Female,White
2,4,4,4,20,1025,2,4,18,Female,White
4,4,4,3,50,1228,4,5,19,Female,White
2,2,4,4,10,998,3,5,18,Female,White
4,4,4,4,30,1217,4,2,20,Female,White
5,3,4,4,14,1760,4,1,20,Female,White
3,4,1,1,72,793,3,3,21,Female,Other
4,3,4,4,36,1911,2,1,18,Male,Other
4,4,2,4,59,1951,1,2,20,Male,White
4,4,4,3,53,1105,4,1,20,Male,White
5,5,5,5,46,394,7,7,18,Male,White
4,4,4,3,30,54,5,3,42,Male,Asian
3,3,3,3,22,129,1,1,19,Male,White
3,4,2,2,25,76,2,1,19,Male,White
3,4,4,2,158,919,2,1,19,Male,White
2,4,2,2,59,613,2,2,18,Male,White
3,4,4,3,120,423,1,1,19,Male,White
3,4,3,4,59,816,3,2,20,Male,White
4,4,2,2,10,1493,1,2,20,Male,White
3,3,3,3,,,1,3,18,Male,Asian
1,4,1,2,30,850,3,3,18,Male,White
1,4,4,2,33,742,3,1,20,Male,White
1,3,1,1,,,1,1,18,Male,White
2,2,3,2,60,464,1,1,18,Male,White
3,3,3,3,,,2,7,18,Male,White
3,3,3,3,32,383,2,2,20,Male,Other
4,4,2,5,89,1011,4,3,17,Male,White
2,4,1,1,150,600,1,1,20,Male,White
2,3,2,2,89,855,1,4,18,Male,White
1,1,2,1,27,1405,1,1,20,Male,Hispanic/Latino
3,4,2,2,59,958,1,1,19,Male,White
3,4,3,4,33,868,1,3,19,Male,White
3,3,3,2,3,577,1,1,19,Male,White
4,4,4,4,30,701,2,4,20,Male,White
1,2,2,2,20,524,1,1,18,Male,White
